fold,folder,identifier
0,dist0p30,00838_TRMRHTW128F9305276
0,dist0p30,00852_TRNRLSZ128E0793088
0,dist0p30,00855_TROCLTL12903CF47BA
0,dist0p30,00858_TROFFYZ128F429262A
0,dist0p30,00866_TRPJRHS12903CFB77F
0,dist0p30,00870_TRPOJFZ12903CDA3C3
0,dist0p30,00874_TRQEUXG128F1460FA6
0,dist0p30,00879_TRQMLSY128F92CA8D2
0,dist0p30,00880_TRQMSCD128F426A3F5
0,dist0p30,00894_TRRUUIS128E078D76F
0,dist0p30,00899_TRSIVJR128E0786BFD
0,dist0p30,00907_TRSVCAH12903CB28BA
0,dist0p30,00909_TRSZRZF128F426A839
0,dist0p30,00910_TRTAFTL128F42A1914
0,dist0p30,00919_TRTTQPA128E0784329
0,dist0p30,00920_TRTUSVT128F42597F3
0,dist0p30,00928_TRUAUPB128F92E80F4
0,dist0p30,00929_TRUKEIZ128EF34B6C4
0,dist0p30,00931_TRUPWZN128E0785850
0,dist0p30,00933_TRURUDU128F4267534
0,dist0p30,00937_TRUVQOP128F425A050
0,dist0p30,00946_TRVUNBB12903C9CE6B
0,dist0p30,00948_TRVVUUH128E0784838
0,dist0p30,00949_TRWBSOX128F92D2DCD
0,dist0p30,00958_TRWVKAJ128F92F123B
0,dist0p30,00966_TRXNVQQ128F4259D91
0,dist0p30,00969_TRXUWPX128F425FBEE
0,dist0p30,00976_TRYIOVT128F42BB917
0,dist0p30,00977_TRYLFHC12903CF8020
0,dist0p30,00980_TRYTLVS128E07857C3
0,dist0p30,00982_TRYWFVK128F145EEDF
0,dist0p30,00995_TRZYOGR128F42948AF
0,dist0p40,01010_TRUCDNM128F14539D1
0,dist0p40,01011_TRLIBLX128F1453AE6
0,dist0p40,01025_TRCMQTP128F147CBD0
0,dist0p40,01041_TRFNPYY128F42ACBC8
0,dist0p40,01043_TRBUPRX128F42267F4
0,dist0p40,01053_TRBOGEC128F425D9AD
0,dist0p40,01070_TRKRZLR128F427255A
0,dist0p40,01104_TRHZBOK128F934B4CA
0,dist0p40,01116_TRVVWFP12903CAA89C
0,dist0p40,01125_TRBBKGH128F145684E
0,dist0p40,01128_TRBNCXK128F147CBC6
0,dist0p40,01139_TRCFOUA128E07842AC
0,dist0p40,01178_TRGLFOX128F4230A69
0,dist0p40,01179_TRGOZZZ128E0785872
0,dist0p40,01211_TRLZXVF128F4297878
0,dist0p40,01245_TRQJUHU128E0798D10
0,dist0p40,01249_TRQPYQA128F425F346
0,dist0p40,01251_TRQUDXU12903CF8023
0,dist0p40,01252_TRQURFG128F4295001
0,dist0p40,01257_TRRRYBV128E0793857
0,dist0p40,01264_TRSDVNE128F428EBAE
0,dist0p40,01268_TRSWQYF128F147CBC0
0,dist0p40,01272_TRTKVLQ128F92EE30C
0,dist0p40,01276_TRTONJG128F4260A27
0,dist0p40,01280_TRUBCER128F4264FF4
0,dist0p40,01284_TRUPDNU128F147CBE9
0,dist0p40,01288_TRVHVNS128F4262D2F
0,dist0p40,01289_TRVNYSZ128E0792A2B
0,dist0p40,01291_TRVZQSO128F92F902E
0,dist0p40,01298_TRXANGZ128F92D16B6
0,dist0p40,01311_TRZIGWU128E07857CE
0,dist0p40,01317_TRZVYHZ128F92F278A
0,dist0p50,01322_TRIGZWY128E07851FD
0,dist0p50,01329_TRITVJE128F427E194
0,dist0p50,01363_TRASRXK128F9311176
0,dist0p50,01369_TRHTDNM12903CD211A
0,dist0p50,01390_TRCQIZS128F423C4ED
0,dist0p50,01398_TRDXAIH12903C9AEAB
0,dist0p50,01424_TRKKQGM128F93351C3
0,dist0p50,01463_TRSUSOV12903CDA3C7
0,dist0p50,01472_TRVZUEH128E07927A8
0,dist0p50,01475_TRWWBRL128F427BE21
0,dist0p60,01495_TREHQFE128F14694FA
0,dist0p60,01512_TRDCDRW128F931FAFB
0,dist0p60,01514_TRLXCXA128F92F42E4
0,dist0p60,01528_TREREOM128E078AFCF
0,dist0p60,01539_TRICOAO128F1460F9F
0,dist0p60,01540_TRIDUYB12903CC15D5
0,dist0p60,01557_TROPWZN128F428C9EA
0,dist0p60,01569_TRUJISG12903CC50C3
0,dist0p60,01573_TRXDEDP12903CCEF05
1,dist0p00,00004_TRXXXSY128F4272F8E
1,dist0p00,00009_TRTQRGO128F42825F9
1,dist0p00,00013_TRNNCPB128F92D307D
1,dist0p00,00023_TRFGQNT128F146B854
1,dist0p00,00035_TRTBXAG128F1484C94
1,dist0p10,00043_TRWUPDA128E0780C8F
1,dist0p10,00044_TRWYQCC128E0783C5E
1,dist0p10,00045_TRUSLMV128E0786BAF
1,dist0p10,00048_TRQMFPR128E07931B3
1,dist0p10,00064_TRUKKNT128F428A3CA
1,dist0p10,00065_TRXORUN128F428A3CD
1,dist0p10,00078_TRHFYWM12903CEE0D9
1,dist0p10,00123_TRIMZJX128F4274235
1,dist0p10,00178_TRWBFCQ128F92E659C
1,dist0p10,00182_TRWZJQX128F92F3FEE
1,dist0p10,00195_TRZFSYZ128F93364AA
1,dist0p20,00210_TRLCBMX128E079339E
1,dist0p20,00240_TRZJZSZ128F4236530
1,dist0p20,00241_TRNEVKK128F423C21E
1,dist0p20,00267_TRSQDCO128F4285EB3
1,dist0p20,00294_TROGOZH12903D07042
1,dist0p20,00390_TRKGHBX128F428E08C
1,dist0p20,00402_TRLJNMK12903CD36B9
1,dist0p20,00420_TRNWQGU128F9304A23
1,dist0p20,00430_TRONMTE128F1458B51
1,dist0p20,00470_TRTAPXG128F145C310
1,dist0p20,00473_TRTFYFQ128F4295EF2
1,dist0p20,00481_TRTSTMA128F14AEC4E
1,dist0p20,00510_TRWVTBY128F92C60E1
1,dist0p20,00511_TRXBGVA128F92F8A71
1,dist0p20,00521_TRYBGVR128F429B7AC
1,dist0p30,00542_TRTTCQJ128E078508A
1,dist0p30,00579_TRKJLHS128F4274234
1,dist0p30,00584_TRLXKVE128F429B7AF
1,dist0p30,00603_TRAWOYD128F4215DDD
1,dist0p30,00615_TRXFBNQ128F4268AE2
1,dist0p30,00621_TRWGMNU128F4285330
1,dist0p30,00624_TROMRMM128F429D482
1,dist0p30,00676_TRARBXK128F9341FF1
1,dist0p30,00689_TRBPQIF128F145696D
1,dist0p30,00709_TRCUZFH128F4278239
1,dist0p30,00727_TREXGQL128F4259718
1,dist0p30,00733_TRFLOIB128F9303329
1,dist0p30,00738_TRFWHBG12903CBF802
1,dist0p30,00748_TRGIATU128F427878D
1,dist0p30,00749_TRGIWGE128F92FD76C
1,dist0p30,00769_TRHOSOG128F428B19B
1,dist0p30,00777_TRIAYBJ128E0799A5B
1,dist0p30,00792_TRJTTNG128F4269122
1,dist0p30,00808_TRKXBZZ128F4266F1F
1,dist0p30,00815_TRLJZJM128F14559E1
1,dist0p30,00839_TRMSMQF128F9364C5C
1,dist0p30,00840_TRMZPIA128F429B768
1,dist0p30,00842_TRNEVTH128F426C310
1,dist0p30,00846_TRNHTEW12903D05CF9
1,dist0p30,00856_TRODJJP12903CB0D5C
1,dist0p30,00889_TRRLIQL128F4266FF3
1,dist0p30,00896_TRRYOUS128F4284F79
1,dist0p30,00902_TRSMLZI12903CC830E
1,dist0p30,00918_TRTRSOZ128F4270680
1,dist0p30,00926_TRTYNQW128F4255339
1,dist0p30,00945_TRVRYZE128F145696E
1,dist0p30,00956_TRWVBZK128E0794B40
1,dist0p30,00988_TRZQIBG128F4278271
1,dist0p40,00998_TRTSMUJ128E0780EA5
1,dist0p40,01000_TREAGFV128E0783844
1,dist0p40,01001_TRGPIFL128E0783C80
1,dist0p40,01005_TRJVJQS128E078EFA8
1,dist0p40,01008_TRVSAYZ128E07942C4
1,dist0p40,01015_TRDWLFV128F1462F75
1,dist0p40,01028_TRQVLRH128F147D6AF
1,dist0p40,01054_TRFALYT128F4290750
1,dist0p40,01062_TREHEEP128F42140C7
1,dist0p40,01080_TRCYIAQ128F42B12C0
1,dist0p40,01102_TRGXGRA128F92F40B8
1,dist0p40,01105_TRLCNDP12903CE15EB
1,dist0p40,01110_TRMSLTU128F9313C5E
1,dist0p40,01119_TRAHLBO128F9340FEE
1,dist0p40,01126_TRBBXSE128F42798F6
1,dist0p40,01127_TRBEBWG128F93214A4
1,dist0p40,01129_TRBNMXL12903CBFB9A
1,dist0p40,01130_TRBOFSY128F1469651
1,dist0p40,01137_TRBYVLR128F4235AF7
1,dist0p40,01145_TRCKYIM128E0782A2F
1,dist0p40,01155_TREAYWA128F1485D7B
1,dist0p40,01156_TREDSAY128F4265DAE
1,dist0p40,01157_TREEECE128F426A826
1,dist0p40,01159_TREHRDF128F426B05E
1,dist0p40,01231_TROFNGJ128F429D84A
1,dist0p40,01247_TRQMJEJ12903CC84AC
1,dist0p40,01248_TRQPOQV128F92DF970
1,dist0p40,01250_TRQTPDN128F4261E3D
1,dist0p40,01263_TRSDLDC128F93500D7
1,dist0p40,01266_TRSLWVM128F1455B23
1,dist0p40,01277_TRTSQLA12903D0737C
1,dist0p40,01294_TRWQDXB128F1463DD6
1,dist0p40,01307_TRYTEGY12903CA0D77
1,dist0p50,01327_TRQLZOD128F148E2DC
1,dist0p50,01334_TRDGUKM128F423458E
1,dist0p50,01346_TRRQBZY128F4254958
1,dist0p50,01364_TRUPUSP128F92EA2DB
1,dist0p50,01378_TROPPCQ128F92FCB61
1,dist0p50,01380_TRZYOQL12903CD9A0C
1,dist0p50,01383_TRBPDXQ128F42652EB
1,dist0p50,01385_TRBUFMC128F932A65B
1,dist0p50,01388_TRCHYGM128F9312EB0
1,dist0p50,01393_TRDBEUF128F42AD7D0
1,dist0p50,01394_TRDMOKH128F934B64E
1,dist0p50,01395_TRDQAPV128F4264AD1
1,dist0p50,01397_TRDSEXM128F429B7AD
1,dist0p50,01400_TREBOSQ128F427BD53
1,dist0p50,01401_TREDFOH128F425EB96
1,dist0p50,01402_TREDKRK128F92ECAA5
1,dist0p50,01419_TRHXKMH128E0786BA3
1,dist0p50,01423_TRKGLOS128E0782A78
1,dist0p50,01426_TRLCHUN128F4264161
1,dist0p50,01429_TRLYIIK128F426902A
1,dist0p50,01438_TRNIQCP128F4272AEC
1,dist0p50,01464_TRTCLFS128E0799AD4
1,dist0p50,01469_TRUWSAA128F1467116
1,dist0p50,01489_TRZZMIZ128F4266F16
1,dist0p60,01501_TRYZHKD128F4284BBA
1,dist0p60,01505_TRBHJHM128F428E81E
1,dist0p60,01506_TRZFWAK128F4290092
1,dist0p60,01507_TRFYFMD128F92D4A39
1,dist0p60,01515_TRFGCYJ128F933CF4A
1,dist0p60,01517_TRKVFEU128F9326199
1,dist0p60,01523_TRBXJTA128F4283197
1,dist0p60,01546_TRJLCZV128F92F568A
1,dist0p60,01561_TRRFOOQ128F4266F23
1,dist0p60,01565_TRSKTLJ128F429B7B3
2,dist0p00,00002_TRGDXTK128F14584C1
2,dist0p00,00005_TRBCMYF128F4298D4C
2,dist0p00,00021_TRBGFIP128E0787587
2,dist0p00,00027_TRITDQH128F4287D9B
2,dist0p10,00054_TRNDATD128F4298D54
2,dist0p10,00061_TRLPFJZ128F4271897
2,dist0p10,00063_TRARRAQ128F427EEF8
2,dist0p10,00077_TRJBLUT128F932DEC2
2,dist0p10,00082_TRAGACS128E078E74D
2,dist0p10,00098_TRECNJT128F423079A
2,dist0p10,00102_TRFEVKY128F4289414
2,dist0p10,00111_TRGMWXV128F92DF8F0
2,dist0p10,00138_TRMJIBB128F931F03D
2,dist0p10,00139_TRMRLRT128F931BFFE
2,dist0p10,00143_TROAZVW128F4279319
2,dist0p10,00171_TRUPVJM128F148A16D
2,dist0p10,00186_TRXSLNF128F423971B
2,dist0p10,00189_TRYHOYI12903D0950B
2,dist0p20,00230_TRXCMQD128F149DA60
2,dist0p20,00258_TRIZHSW128F425A1EC
2,dist0p20,00261_TRIRIJR128F4265681
2,dist0p20,00265_TRMBZVF128F428507C
2,dist0p20,00288_TREYALU128F933BBB7
2,dist0p20,00299_TRSEKRS12903CBB4FF
2,dist0p20,00311_TRAXHGL128F14744C6
2,dist0p20,00331_TRDGVAY128F1468FAB
2,dist0p20,00361_TRGWGFB128F42B0DCA
2,dist0p20,00368_TRHTAIQ128F427275A
2,dist0p20,00377_TRIRYOM128F425976B
2,dist0p20,00394_TRKMRQI128F42A00AF
2,dist0p20,00413_TRMYTTC128F4298066
2,dist0p20,00425_TROIQNZ128F4279351
2,dist0p20,00457_TRRNUMR128F4259FFE
2,dist0p20,00468_TRSVZAY128F1472B95
2,dist0p20,00474_TRTGSIZ12903CE9121
2,dist0p20,00489_TRUOMPF128F92F76E1
2,dist0p20,00495_TRUZYZU128F145DF81
2,dist0p20,00499_TRVGRXU128F425093A
2,dist0p20,00504_TRWCKEI128E0780E47
2,dist0p20,00508_TRWTXLQ128E0788B0B
2,dist0p20,00515_TRXMQNH128F4287D61
2,dist0p20,00526_TRYLTZQ128E0787594
2,dist0p20,00530_TRZCPYR128F4287D67
2,dist0p20,00533_TRZISOZ128E078758C
2,dist0p30,00543_TRERXMD128E0785744
2,dist0p30,00556_TRXXCFL128F145E5AC
2,dist0p30,00561_TRKBDSA128F1472B97
2,dist0p30,00564_TRRYQGY128F147C1DC
2,dist0p30,00581_TRDPLYE128F4298D52
2,dist0p30,00602_TRNWOQP128F4214059
2,dist0p30,00617_TRYHSNT128F426A56C
2,dist0p30,00622_TRDBQXT128F4289423
2,dist0p30,00627_TREYOXS128F42AF3E2
2,dist0p30,00632_TRVFXYU128F9305283
2,dist0p30,00661_TRYFUIE12903CBCF96
2,dist0p30,00663_TRABUSZ128F4257BAB
2,dist0p30,00671_TRANEFR12903CF6040
2,dist0p30,00681_TRBAFNH128F428CB96
2,dist0p30,00682_TRBAUVN128F932FEF8
2,dist0p30,00686_TRBHDQU12903D09504
2,dist0p30,00693_TRBXUUF128E0780E51
2,dist0p30,00695_TRCBENI128F149D987
2,dist0p30,00699_TRCDZDA128E078746C
2,dist0p30,00730_TRFBSUK128F1484EE7
2,dist0p30,00751_TRGMGVV128F930ADCF
2,dist0p30,00757_TRGXWAR128F42A2CCD
2,dist0p30,00763_TRHGCXF128F92FE4D3
2,dist0p30,00767_TRHNMNS128F149EC07
2,dist0p30,00780_TRILDNT128F1451F15
2,dist0p30,00791_TRJPZOG128E078D6A7
2,dist0p30,00800_TRKMBZN128F428E0C0
2,dist0p30,00806_TRKRHYM128F42934A9
2,dist0p30,00814_TRLIKGK12903CBA9D3
2,dist0p30,00823_TRLPQCQ128E078E7DD
2,dist0p30,00826_TRLTEGO128E0784C51
2,dist0p30,00836_TRMKCDS128F424315F
2,dist0p30,00841_TRNDZJT128E0792721
2,dist0p30,00854_TRNVYMO128F1470B3A
2,dist0p30,00860_TROMTUI128E0792357
2,dist0p30,00864_TROZOEJ128F1470DFA
2,dist0p30,00871_TRPUGLX128F145C03B
2,dist0p30,00891_TRRRAAG128F14744C5
2,dist0p30,00892_TRRSPIS128C71962D2
2,dist0p30,00893_TRRUUCY128F145BFF0
2,dist0p30,00901_TRSKXNP128F427B47F
2,dist0p30,00922_TRTVQVN128C71962D8
2,dist0p30,00923_TRTWBDB128EF34300F
2,dist0p40,01006_TRBXGHM128E0791287
2,dist0p40,01016_TRADWVP128F1465037
2,dist0p40,01020_TROIOWA128F1472B8E
2,dist0p40,01034_TRKFJCW128F148F467
2,dist0p40,01036_TRUURXI128F1494970
2,dist0p40,01063_TRIHMBW128F422BFF2
2,dist0p40,01065_TREDRYC128F4250127
2,dist0p40,01068_TRNLTZW128F4265B56
2,dist0p40,01069_TRWSXDR128F4272055
2,dist0p40,01078_TREPNAK128F4298070
2,dist0p40,01079_TRKBJJC128F42AA781
2,dist0p40,01090_TRTSFVM128F92D31B2
2,dist0p40,01107_TRXZBFS128F92F24D2
2,dist0p40,01112_TRZVDCV12903CBB501
2,dist0p40,01115_TRFOHII12903CC2895
2,dist0p40,01117_TRAAAZF12903CCCF6B
2,dist0p40,01140_TRCJAOE128F1453D59
2,dist0p40,01147_TRCYFPB128F4277D81
2,dist0p40,01152_TRDMYHS12903CB23D1
2,dist0p40,01154_TRDOVIW128F42353E0
2,dist0p40,01162_TRETPUT128F427E11E
2,dist0p40,01171_TRFUJBZ128F1485E14
2,dist0p40,01172_TRFWBWA128F429BFE8
2,dist0p40,01174_TRGCJVM128E0780E48
2,dist0p40,01177_TRGKHUB128F93430F2
2,dist0p40,01180_TRHBVZH128F428D3DE
2,dist0p40,01197_TRKAHGT128F1456BEC
2,dist0p40,01204_TRKYTAG128F92EE5BC
2,dist0p40,01213_TRMEZPD128F1463BE5
2,dist0p40,01219_TRMUJKQ12903CA8495
2,dist0p40,01227_TRNVTWL128E0798526
2,dist0p40,01253_TRQWDTQ128F4299988
2,dist0p40,01295_TRWQXAK128E0780DD4
2,dist0p40,01301_TRXVOBX128F4243131
2,dist0p40,01316_TRZQCHZ12903CA7C83
2,dist0p50,01325_TRKNREU128F1463CC0
2,dist0p50,01336_TRYZMOC128F423E58D
2,dist0p50,01337_TRMAFWC128F423E58F
2,dist0p50,01349_TRDTDAT128F426AB1C
2,dist0p50,01350_TRARIBY128F4273287
2,dist0p50,01351_TRYYVPJ128F427E2ED
2,dist0p50,01355_TRDBEXV128F42A4ABC
2,dist0p50,01357_TRRGPSF128F92D92AA
2,dist0p50,01359_TRFDQNJ128F92EC421
2,dist0p50,01371_TRMEBYQ128F932FEFF
2,dist0p50,01404_TREETQP128F426E62B
2,dist0p50,01406_TRFDATM12903CA445B
2,dist0p50,01411_TRFSWWZ128F426AC0C
2,dist0p50,01415_TRHDUMF128F14590D1
2,dist0p50,01416_TRHQQGM128E0781C67
2,dist0p50,01420_TRIEAIS128F14A8CFC
2,dist0p50,01428_TRLVKSL128F4241B19
2,dist0p50,01430_TRMABKI128F14668D7
2,dist0p50,01433_TRMQIPU128F4289418
2,dist0p50,01436_TRNCFOC128F424C05C
2,dist0p50,01437_TRNIAHD128F42A95E7
2,dist0p50,01450_TRRCXPW128F92E5185
2,dist0p50,01456_TRRUXAH128E078FECB
2,dist0p50,01483_TRYDUAU128F429825B
2,dist0p60,01511_TRNKSWL128F9308A43
2,dist0p60,01529_TRERVBD128F92EE5B3
2,dist0p60,01531_TRFMMOE128F1467D48
2,dist0p60,01532_TRGAGTH12903C994AE
2,dist0p60,01536_TRHCJMM128F933BEED
2,dist0p60,01544_TRIPANG128F1472B8F
2,dist0p60,01548_TRLRJQT128F149CAFF
2,dist0p60,01556_TROMWHR12903CC304A
3,dist0p00,00003_TRHPTQV128F14A2C78
3,dist0p10,00056_TRBEKYS128F4242DD3
3,dist0p10,00060_TROWSYG128F425EC92
3,dist0p10,00072_TRDGVTS128F92EBE30
3,dist0p10,00079_TRAAWSJ128F933D7EF
3,dist0p10,00085_TRBBQPP128F92EE611
3,dist0p10,00096_TRDSVSO128F92F3415
3,dist0p10,00105_TRFSJUR12903CB23E7
3,dist0p10,00106_TRFVWNX128F4280657
3,dist0p10,00135_TRLOHNY128F4292262
3,dist0p10,00140_TRMTEPP128F42774E7
3,dist0p10,00142_TRNZOCH128F423CDE8
3,dist0p10,00162_TRRHXEG128F425EC9B
3,dist0p10,00165_TRSVVUR128F4293036
3,dist0p10,00177_TRVWTLL128F4232D79
3,dist0p10,00181_TRWXOCN12903CBF7C3
3,dist0p10,00192_TRYSUKL128E0783F65
3,dist0p20,00197_TRVXIJS128E0783A1E
3,dist0p20,00206_TRBRRDW128E078F7CA
3,dist0p20,00208_TRRCPXP128E0791F01
3,dist0p20,00213_TRIUVDX128F14531ED
3,dist0p20,00222_TRBHFWA128F146A21B
3,dist0p20,00233_TRGRWLW128F14A8B61
3,dist0p20,00237_TRLWMWL128F4297653
3,dist0p20,00250_TREQRAC128F42900F0
3,dist0p20,00253_TRKVBDR128F4242DD1
3,dist0p20,00259_TRTOMSR128F425EC84
3,dist0p20,00272_TRPKLQC128F4299DD0
3,dist0p20,00280_TRTHODJ128F92EF074
3,dist0p20,00298_TRJRWIF128F93450C7
3,dist0p20,00301_TRFHVTT12903CF7CD9
3,dist0p20,00319_TRCARHW128F147EDDD
3,dist0p20,00322_TRCFARS128F428FF8A
3,dist0p20,00324_TRCKYAG12903CECB67
3,dist0p20,00325_TRCPSTQ128F42996EA
3,dist0p20,00329_TRDDYIP128F423AC89
3,dist0p20,00334_TRDQHLC128F423FBE9
3,dist0p20,00340_TREUQHF128F92FC055
3,dist0p20,00342_TREYDVQ128F145BF9B
3,dist0p20,00346_TRFIJVZ128F422F029
3,dist0p20,00347_TRFNECS128F424428A
3,dist0p20,00356_TRGJNAN128F42AEEF6
3,dist0p20,00358_TRGNWZR128F4264558
3,dist0p20,00380_TRIXYVW128F92EBE28
3,dist0p20,00382_TRJDPGX128F424426E
3,dist0p20,00387_TRJOHGG128F92F12B9
3,dist0p20,00392_TRKJZTV128F933720F
3,dist0p20,00416_TRNAKGC128F92D31A7
3,dist0p20,00427_TROKXMZ128F1466B13
3,dist0p20,00442_TRQBLYT128F931B322
3,dist0p20,00454_TRRCGFC12903CE26FE
3,dist0p20,00478_TRTRJRT12903D05FC3
3,dist0p20,00483_TRUDCQL12903CB28BB
3,dist0p20,00486_TRUIMDA12903CEBF3B
3,dist0p20,00488_TRULGTG128F423AC9F
3,dist0p20,00497_TRVDDNP128F42722F6
3,dist0p20,00519_TRYADUY128F93176B8
3,dist0p20,00534_TRZLHQC128F1454184
3,dist0p20,00536_TRZSAJK12903CB73BF
3,dist0p30,00551_TRAIMRN128E0791E72
3,dist0p30,00558_TRPXQGF128F1467DF2
3,dist0p30,00572_TRFEUCH128F148B995
3,dist0p30,00576_TREIBKI128EF3456D6
3,dist0p30,00577_TRSTOTS128EF3456D8
3,dist0p30,00580_TRZBTHB128F4274246
3,dist0p30,00588_TRQPUAB128F42389E9
3,dist0p30,00594_TRNSUBY128F423C091
3,dist0p30,00597_TRCIHTY128F4260B16
3,dist0p30,00604_TRODPKT128F4242DD4
3,dist0p30,00616_TRWHECM128F4268B82
3,dist0p30,00619_TRMZLZR128F4278C05
3,dist0p30,00640_TRFKYHS128F933ED6B
3,dist0p30,00650_TRBLSWQ128F9340F98
3,dist0p30,00666_TRAJNYD128F9340A32
3,dist0p30,00674_TRAPECP128E078F91C
3,dist0p30,00690_TRBSGTX128F149435E
3,dist0p30,00696_TRCBHLT128F147FCB1
3,dist0p30,00717_TRDNMWT128F425D6E4
3,dist0p30,00734_TRFOMYM128F930D135
3,dist0p30,00744_TRGDLYG12903CB0D32
3,dist0p30,00752_TRGMIKG128F93369D8
3,dist0p30,00753_TRGOOUI12903CB73BC
3,dist0p30,00762_TRHEFDK128F14659A0
