folder,identifier,genres
dist0p10,00086_TRBBYVD128F931AE0C,Rock
dist0p10,00087_TRBFDHO128F4294AF0,Pop
dist0p10,00087_TRBFDHO128F4294AF0,R&B/Soul/Funk
dist0p10,00088_TRBHGWP128E0793AD8,Pop
dist0p10,00089_TRCDNFU128F92DF6FB,Pop
dist0p10,00089_TRCDNFU128F92DF6FB,Rock
dist0p10,00090_TRCHPTB12903CECB9A,Pop
dist0p10,00091_TRCKZEP128F9303D8D,Pop
dist0p10,00092_TRDFUQS12903CCEFD0,
dist0p10,00093_TRDIYHW128F4234B6F,Pop
dist0p10,00093_TRDIYHW128F4234B6F,R&B/Soul/Funk
dist0p10,00093_TRDIYHW128F4234B6F,Contemporary R&B
dist0p10,00094_TRDJQLI128E07917C7,Rock
dist0p10,00095_TRDPXKD128F1499EF3,Rock
dist0p10,00096_TRDSVSO128F92F3415,Rock
dist0p10,00097_TREBGRF128F148D11A,Pop
dist0p10,00097_TREBGRF128F148D11A,Rock
dist0p10,00098_TRECNJT128F423079A,R&B/Soul/Funk
dist0p10,00099_TRELJQR128F425C172,Pop
dist0p10,00099_TRELJQR128F425C172,Rock
dist0p10,00100_TREPTBO128F4254E83,Pop
dist0p10,00101_TREXCGQ128E0786348,Pop
dist0p10,00102_TRFEVKY128F4289414,Alternative
dist0p10,00102_TRFEVKY128F4289414,Indie Pop
dist0p10,00102_TRFEVKY128F4289414,Indie Rock
dist0p10,00102_TRFEVKY128F4289414,Pop
dist0p10,00102_TRFEVKY128F4289414,Indie Pop/Folk
dist0p10,00102_TRFEVKY128F4289414,Rock
dist0p10,00103_TRFLCMC128E0792ECE,Pop
dist0p10,00104_TRFLQHF128F92CBD5C,R&B
dist0p10,00105_TRFSJUR12903CB23E7,Pop
dist0p10,00106_TRFVWNX128F4280657,World
dist0p10,00106_TRFVWNX128F4280657,Country
dist0p10,00107_TRFXIMY128F4298335,Rock
dist0p10,00108_TRFXMFF128F428A663,Alternative Rock
dist0p10,00109_TRGEAAS128F92E1ADD,Pop
dist0p10,00110_TRGLMZJ128F92DC646,Alternative
dist0p10,00110_TRGLMZJ128F92DC646,Indie Rock
dist0p10,00110_TRGLMZJ128F92DC646,Pop
dist0p10,00110_TRGLMZJ128F92DC646,Rock
dist0p10,00111_TRGMWXV128F92DF8F0,Pop
dist0p10,00112_TRHEHIY128F42942B9,Pop
dist0p10,00113_TRHFFOC128F92F901F,Rock
dist0p10,00114_TRHNQPH128E07876D1,
dist0p10,00115_TRHVDCV128EF342BB5,Pop
dist0p10,00116_TRIAWSK128E078893E,Pop
dist0p10,00117_TRICTCQ128F1489B5F,Pop
dist0p10,00117_TRICTCQ128F1489B5F,Rock
dist0p10,00118_TRIFEQF128F92F0344,Pop
dist0p10,00119_TRIFNXT128F4274A8C,Pop
dist0p10,00119_TRIFNXT128F4274A8C,Rock
dist0p10,00120_TRIHORS128F4280427,
dist0p10,00121_TRIILOC128E0793F63,Pop
dist0p10,00121_TRIILOC128E0793F63,R&B/Soul/Funk
dist0p10,00121_TRIILOC128E0793F63,Disco
dist0p10,00122_TRIIVUQ128F4299C9F,Country
dist0p10,00123_TRIMZJX128F4274235,Pop - Contemporary / Adult
dist0p10,00124_TRIPHYI128F147D40D,
dist0p10,00125_TRISYPB12903CB2B52,Pop
dist0p10,00126_TRIZWLK128E0793C91,Pop
dist0p10,00127_TRJUVYQ128F4279A50,Pop
dist0p10,00128_TRKGXYF128F92D2C35,Pop
dist0p10,00128_TRKGXYF128F92D2C35,Rock
dist0p10,00129_TRKNEKI12903CDEAEB,R&B
dist0p10,00130_TRKTDFW128F4282A01,Pop
dist0p10,00131_TRKWFNH12903CD1D39,Pop
dist0p10,00132_TRKZAAS128E0793AB8,
dist0p10,00133_TRLAACO128F148FDC0,Rock
dist0p10,00134_TRLFQTT128F145834F,Pop
dist0p10,00134_TRLFQTT128F145834F,Rock
dist0p10,00135_TRLOHNY128F4292262,Alternative
dist0p10,00135_TRLOHNY128F4292262,Indie Rock
dist0p10,00135_TRLOHNY128F4292262,Jazz
dist0p10,00135_TRLOHNY128F4292262,Pop
dist0p10,00135_TRLOHNY128F4292262,Indie Pop/Folk
dist0p10,00135_TRLOHNY128F4292262,Rock
dist0p10,00135_TRLOHNY128F4292262,R&B/Soul/Funk
dist0p10,00136_TRLVCZR128F426739D,Pop
dist0p10,00136_TRLVCZR128F426739D,Rock
dist0p10,00137_TRLZJKN128F93434FD,Pop
dist0p10,00138_TRMJIBB128F931F03D,R&B/Soul/Funk
dist0p10,00139_TRMRLRT128F931BFFE,Rock
dist0p10,00140_TRMTEPP128F42774E7,Alternative
dist0p10,00140_TRMTEPP128F42774E7,Indie Rock
dist0p10,00140_TRMTEPP128F42774E7,Pop
dist0p10,00140_TRMTEPP128F42774E7,Indie Pop/Folk
dist0p10,00140_TRMTEPP128F42774E7,Rock
dist0p10,00141_TRNZCTZ128F427EFC1,Pop
dist0p10,00142_TRNZOCH128F423CDE8,Pop
dist0p10,00142_TRNZOCH128F423CDE8,Rock
dist0p10,00143_TROAZVW128F4279319,Alternative
dist0p10,00144_TROFHYS128F4297B46,Pop
dist0p10,00145_TROIHJD128F1464EF6,Pop
dist0p10,00146_TROLENX128F9330D31,Rock
dist0p10,00147_TROLYXK128F428D09B,World
dist0p10,00147_TROLYXK128F428D09B,Country
dist0p10,00148_TROUUSC128F4261F1E,World
dist0p10,00148_TROUUSC128F4261F1E,Country
dist0p10,00149_TROWILC12903CBB643,Pop
dist0p10,00150_TROXAZG12903CA7A82,Pop
dist0p10,00151_TRPLWAT128F4277121,Rock
dist0p10,00152_TRPVTRG128F425AB3E,Adult Contemporary
dist0p10,00153_TRPWMGN128E078F2B8,Pop
dist0p10,00154_TRPWNYA128F14591AD,Rock
dist0p10,00155_TRPZBRB128F146284A,Dance
dist0p10,00155_TRPZBRB128F146284A,Pop
dist0p10,00155_TRPZBRB128F146284A,Rock
dist0p10,00156_TRQHRWD128F42A2552,Pop
dist0p10,00157_TRQLCBM128F92DC640,Rock
dist0p10,00158_TRQWZNT128F424EFD9,
dist0p10,00159_TRQYAWK128E07927A4,Pop
dist0p10,00160_TRQZHBP128F428CF25,Films/Games
dist0p10,00160_TRQZHBP128F428CF25,Film Scores
dist0p10,00161_TRRDMNY128F1463BBD,Pop
dist0p10,00162_TRRHXEG128F425EC9B,Rock
dist0p10,00163_TRRJHYJ128F148D7FD,Pop
dist0p10,00164_TRSNJKS128F148A811,Pop
dist0p10,00164_TRSNJKS128F148A811,Rock
dist0p10,00165_TRSVVUR128F4293036,Pop
dist0p10,00166_TRTELGR128F92EAA71,World
dist0p10,00166_TRTELGR128F92EAA71,Country
dist0p10,00167_TRTLXJO128F4259DEC,Hip Hop
dist0p10,00167_TRTLXJO128F4259DEC,Pop
dist0p10,00167_TRTLXJO128F4259DEC,Rock
dist0p10,00167_TRTLXJO128F4259DEC,R&B/Soul/Funk
dist0p10,00167_TRTLXJO128F4259DEC,Contemporary R&B
dist0p10,00168_TRTRRBA128F146043E,Rock
dist0p10,00169_TRUBESC12903CB2E09,Pop
dist0p10,00170_TRUHESC128F428B7F2,World
dist0p10,00170_TRUHESC128F428B7F2,Central America/Carribean
dist0p10,00170_TRUHESC128F428B7F2,Reggae
dist0p10,00170_TRUHESC128F428B7F2,Dancehall/Ragga
dist0p10,00171_TRUPVJM128F148A16D,Pop
dist0p10,00172_TRUQERG128F147CBEA,Pop
dist0p10,00173_TRUWVOL128F425D718,Electro
dist0p10,00173_TRUWVOL128F425D718,Techno/House
dist0p10,00173_TRUWVOL128F425D718,Dance
dist0p10,00173_TRUWVOL128F425D718,Pop
dist0p10,00173_TRUWVOL128F425D718,Rock
dist0p10,00174_TRVMUMY128F933D053,Hip Hop
dist0p10,00174_TRVMUMY128F933D053,Pop
dist0p10,00174_TRVMUMY128F933D053,Rock
dist0p10,00174_TRVMUMY128F933D053,R&B/Soul/Funk
dist0p10,00175_TRVQFLX128F932A67D,Pop
dist0p10,00175_TRVQFLX128F932A67D,Rock
dist0p10,00176_TRVTOKP128F42AEB2D,Pop
dist0p10,00177_TRVWTLL128F4232D79,Rock
dist0p10,00178_TRWBFCQ128F92E659C,Rock
dist0p10,00179_TRWJNAJ128F9340DFF,Pop
dist0p10,00180_TRWNVAA128F42ACF9C,Pop
dist0p10,00181_TRWXOCN12903CBF7C3,Pop
dist0p10,00182_TRWZJQX128F92F3FEE,Alternative
dist0p10,00182_TRWZJQX128F92F3FEE,Indie Rock
dist0p10,00182_TRWZJQX128F92F3FEE,Pop
dist0p10,00182_TRWZJQX128F92F3FEE,Rock
dist0p10,00183_TRXAWRE128F428E037,
dist0p10,00184_TRXFOLO12903CB0D1A,Rock
dist0p10,00185_TRXGCAI128F1476FA4,Pop
dist0p10,00186_TRXSLNF128F423971B,Pop
dist0p10,00186_TRXSLNF128F423971B,Rock
dist0p10,00187_TRXTGLE128F148A28C,Rock
dist0p10,00188_TRXWIRX128F4228AA1,Rock
dist0p10,00189_TRYHOYI12903D0950B,Pop
dist0p10,00190_TRYLBDR128F932A361,Pop
dist0p10,00191_TRYNUFQ128F42B9533,Pop
dist0p10,00192_TRYSUKL128E0783F65,Rock
dist0p10,00193_TRYVMNJ128F92FFBEA,Pop
dist0p10,00193_TRYVMNJ128F92FFBEA,Rock
dist0p10,00193_TRYVMNJ128F92FFBEA,Blues
dist0p10,00193_TRYVMNJ128F92FFBEA,Metal/HardRock
dist0p10,00193_TRYVMNJ128F92FFBEA,Rock & Roll/Rockabilly
dist0p10,00193_TRYVMNJ128F92FFBEA,R&B/Soul/Funk
dist0p10,00194_TRYXSYH128F93510D2,Pop
dist0p10,00194_TRYXSYH128F93510D2,Rock
dist0p10,00195_TRZFSYZ128F93364AA,Alternative
dist0p10,00195_TRZFSYZ128F93364AA,Indie Rock
dist0p10,00195_TRZFSYZ128F93364AA,Pop
dist0p10,00195_TRZFSYZ128F93364AA,Rock
dist0p10,00195_TRZFSYZ128F93364AA,Rock & Roll/Rockabilly
dist0p10,00196_TRZSKVY128F4298E31,Pop
dist0p20,00197_TRVXIJS128E0783A1E,Rock
dist0p20,00198_TRUBTGB128E07845A5,R & B
dist0p20,00199_TRZZIYQ128E078550C,R&B
dist0p20,00200_TRPTWLU128E078584F,Alternative
dist0p20,00201_TRATIUI128E0787309,Pop
dist0p20,00202_TRUJZBM128E078731E,
dist0p20,00203_TRLMFRB128E078E1FA,Rock
dist0p20,00203_TRLMFRB128E078E1FA,Pop
dist0p20,00204_TRZUHHO128E078E81E,World
dist0p20,00204_TRZUHHO128E078E81E,Country
dist0p20,00204_TRZUHHO128E078E81E,Pop
dist0p20,00205_TRMDQOY128E078EB4D,Pop
dist0p20,00206_TRBRRDW128E078F7CA,World
dist0p20,00206_TRBRRDW128E078F7CA,Country
dist0p20,00207_TRWXQQK128E078FC93,Pop
dist0p20,00208_TRRCPXP128E0791F01,Alternative
dist0p20,00209_TRHGOTC128E07920B4,Pop
dist0p20,00210_TRLCBMX128E079339E,Dance
dist0p20,00211_TRPEGFC128E07990D0,Pop
dist0p20,00212_TRDPATX128E0799463,R & B
dist0p20,00213_TRIUVDX128F14531ED,Pop
dist0p20,00215_TRASQGR128F14557AA,Alternative
dist0p20,00215_TRASQGR128F14557AA,Indie Pop
dist0p20,00215_TRASQGR128F14557AA,Indie Rock
dist0p20,00215_TRASQGR128F14557AA,Pop
dist0p20,00215_TRASQGR128F14557AA,Indie Pop/Folk
dist0p20,00215_TRASQGR128F14557AA,Rock
dist0p20,00215_TRASQGR128F14557AA,Rock & Roll/Rockabilly
dist0p20,00216_TRNJQAM128F14557AF,Pop
dist0p20,00217_TRBWTPJ128F145FB00,Rock
dist0p20,00218_TRLEFHF128F1463E25,Classical
dist0p20,00218_TRLEFHF128F1463E25,Pop
dist0p20,00219_TRNZMIO128F14672D2,Pop
dist0p20,00220_TRGQVDQ128F1467E23,Rock
dist0p20,00221_TRWIHVQ128F1469328,Pop
dist0p20,00222_TRBHFWA128F146A21B,Pop
dist0p20,00223_TREKDZI128F146A972,World
dist0p20,00223_TREKDZI128F146A972,Central America/Carribean
dist0p20,00223_TREKDZI128F146A972,Reggae
dist0p20,00224_TRWSRFM128F146B81B,Pop
dist0p20,00225_TRTVBXQ128F14750C0,Rock
dist0p20,00226_TRGLFDX128F147727B,Pop
dist0p20,00227_TRTXBPS128F147C1FC,Pop
dist0p20,00228_TRGXZRI128F148D017,R&B
dist0p20,00229_TRYRMWH128F14917C7,Rock
dist0p20,00230_TRXCMQD128F149DA60,World
dist0p20,00230_TRXCMQD128F149DA60,Country
dist0p20,00231_TRUKHNV128F149ED32,Alternative
dist0p20,00231_TRUKHNV128F149ED32,Indie Rock
dist0p20,00231_TRUKHNV128F149ED32,Pop
dist0p20,00231_TRUKHNV128F149ED32,Indie Pop/Folk
dist0p20,00231_TRUKHNV128F149ED32,Rock
dist0p20,00232_TRTTPCH128F14A2B55,Pop
dist0p20,00233_TRGRWLW128F14A8B61,Rock
dist0p20,00234_TRQTVEV128F14B1618,Pop
dist0p20,00235_TRKHDXT128EF342E3D,Alternative
dist0p20,00236_TRSFIEK128F429549D,Pop
dist0p20,00237_TRLWMWL128F4297653,Pop
dist0p20,00238_TRHIEGC128F4299E12,Pop
dist0p20,00239_TRHXZSY128F4233B86,Pop
dist0p20,00240_TRZJZSZ128F4236530,Pop
dist0p20,00240_TRZJZSZ128F4236530,Rock
dist0p20,00240_TRZJZSZ128F4236530,Metal/HardRock
dist0p20,00241_TRNEVKK128F423C21E,Pop
dist0p20,00241_TRNEVKK128F423C21E,Rock
dist0p20,00242_TRLQEIK128F4240959,Rock
dist0p20,00243_TRPMMGT128F4240960,Rock
dist0p20,00244_TRWANRS128F424E300,World
dist0p20,00244_TRWANRS128F424E300,Country
dist0p20,00245_TRVNYXT128F424ED26,Pop
dist0p20,00246_TRSKATR128F4252499,Rock
dist0p20,00247_TRYAAHJ128F425F5D5,Christian
dist0p20,00248_TRWJZMX128F426216E,Alternative
dist0p20,00249_TRONIFO128F4262360,Alternative
dist0p20,00250_TREQRAC128F42900F0,Rock
dist0p20,00251_TRRVULD128F4293F02,Alternative
dist0p20,00251_TRRVULD128F4293F02,Indie Pop
dist0p20,00251_TRRVULD128F4293F02,Indie Rock
dist0p20,00251_TRRVULD128F4293F02,Pop
dist0p20,00251_TRRVULD128F4293F02,Indie Pop/Folk
dist0p20,00251_TRRVULD128F4293F02,Rock
dist0p20,00251_TRRVULD128F4293F02,Indie Rock/Rock pop
dist0p20,00252_TRGRGFI128F423C06A,Rock
dist0p20,00253_TRKVBDR128F4242DD1,World
dist0p20,00253_TRKVBDR128F4242DD1,Country
dist0p20,00254_TRMFOLO128F424A0FC,Pop
dist0p20,00255_TRSHKBR128F4281C97,Alternative
dist0p20,00255_TRSHKBR128F4281C97,Indie Pop
dist0p20,00255_TRSHKBR128F4281C97,Indie Rock
dist0p20,00255_TRSHKBR128F4281C97,Pop
dist0p20,00255_TRSHKBR128F4281C97,Indie Pop/Folk
dist0p20,00255_TRSHKBR128F4281C97,Rock
dist0p20,00256_TRTBOIW128F424D514,Rock
dist0p20,00257_TRBLWKJ128F424D517,Rock
dist0p20,00258_TRIZHSW128F425A1EC,Pop
dist0p20,00259_TRTOMSR128F425EC84,Pop
dist0p20,00260_TRZPGQM128F4263FF1,Alternative
dist0p20,00260_TRZPGQM128F4263FF1,Indie Rock
dist0p20,00260_TRZPGQM128F4263FF1,Pop
dist0p20,00260_TRZPGQM128F4263FF1,Indie Pop/Folk
dist0p20,00260_TRZPGQM128F4263FF1,Rock
dist0p20,00261_TRIRIJR128F4265681,Rock
dist0p20,00262_TRRKPYX128F4273176,Pop
dist0p20,00263_TRBUYMR128F427D59A,Pop
dist0p20,00264_TRKFPNL128F427D59F,Pop
dist0p20,00265_TRMBZVF128F428507C,Alternative
dist0p20,00265_TRMBZVF128F428507C,Indie Pop
dist0p20,00265_TRMBZVF128F428507C,Indie Rock
dist0p20,00265_TRMBZVF128F428507C,Pop
dist0p20,00265_TRMBZVF128F428507C,Indie Pop/Folk
dist0p20,00265_TRMBZVF128F428507C,Rock
dist0p20,00265_TRMBZVF128F428507C,Metal/HardRock
dist0p20,00266_TRZDMLR128F42854CB,World
dist0p20,00266_TRZDMLR128F42854CB,Country
dist0p20,00267_TRSQDCO128F4285EB3,World
dist0p20,00267_TRSQDCO128F4285EB3,Country
dist0p20,00268_TRPHRMB128F428A361,World
dist0p20,00268_TRPHRMB128F428A361,Country
dist0p20,00269_TRBRECC128F428A375,Country
dist0p20,00270_TRKWXST128F428D0ED,Alternative
dist0p20,00270_TRKWXST128F428D0ED,Indie Rock
dist0p20,00270_TRKWXST128F428D0ED,Pop
dist0p20,00270_TRKWXST128F428D0ED,Rock
dist0p20,00270_TRKWXST128F428D0ED,Metal/HardRock
dist0p20,00271_TRNJFAN128F42910B7,Electro
dist0p20,00271_TRNJFAN128F42910B7,Techno/House
dist0p20,00271_TRNJFAN128F42910B7,Dance
dist0p20,00271_TRNJFAN128F42910B7,Pop
dist0p20,00271_TRNJFAN128F42910B7,Rock
dist0p20,00272_TRPKLQC128F4299DD0,Pop
dist0p20,00273_TRBZQBS128F92E63E8,Pop
dist0p20,00274_TRXOXTF128F9307FC8,Dance
dist0p20,00274_TRXOXTF128F9307FC8,Hip Hop
dist0p20,00274_TRXOXTF128F9307FC8,Pop
dist0p20,00274_TRXOXTF128F9307FC8,Rock
dist0p20,00274_TRXOXTF128F9307FC8,R&B/Soul/Funk
dist0p20,00274_TRXOXTF128F9307FC8,Contemporary R&B
dist0p20,00274_TRXOXTF128F9307FC8,Contemporary Soul
dist0p20,00275_TRSMCGR128F9311A0D,Pop
dist0p20,00276_TRATWSP128F933AD36,Pop
dist0p20,00277_TROZPHT128F92DE66F,Rock
dist0p20,00278_TRPYYWT128F933318E,Pop
dist0p20,00278_TRPYYWT128F933318E,Country
dist0p20,00279_TROBUEQ128F92D3101,Pop
dist0p20,00280_TRTHODJ128F92EF074,Rock
dist0p20,00281_TRCCCFN128F92E1D44,Pop
dist0p20,00282_TRWQINA128F9339E57,Pop
dist0p20,00283_TRBGCHI128F933B1F3,
dist0p20,00284_TRDKWAN128F9307A66,Alternative
dist0p20,00284_TRDKWAN128F9307A66,Indie Pop
dist0p20,00284_TRDKWAN128F9307A66,Indie Rock
dist0p20,00284_TRDKWAN128F9307A66,Pop
dist0p20,00284_TRDKWAN128F9307A66,Indie Pop/Folk
dist0p20,00284_TRDKWAN128F9307A66,Rock
dist0p20,00284_TRDKWAN128F9307A66,Metal/HardRock
dist0p20,00285_TRPTIUI128F9319DA4,Pop
dist0p20,00286_TRLYMOZ128F9319DA6,Pop
dist0p20,00287_TRQRHKG128F931BB56,Pop
dist0p20,00288_TREYALU128F933BBB7,Pop
dist0p20,00288_TREYALU128F933BBB7,Rock
dist0p20,00289_TRENNLG128F934324D,Pop
dist0p20,00290_TRFVRYY128F9305E81,World
dist0p20,00290_TRFVRYY128F9305E81,Country
dist0p20,00291_TRISWAB12903CA4A33,Dance
dist0p20,00291_TRISWAB12903CA4A33,Pop
dist0p20,00291_TRISWAB12903CA4A33,Rock
dist0p20,00292_TRPTGLI12903CD34D4,
dist0p20,00293_TRPTBHZ12903CE747C,Pop
dist0p20,00294_TROGOZH12903D07042,Pop
dist0p20,00295_TRRDSSX128F92F4DC8,Rock
dist0p20,00295_TRRDSSX128F92F4DC8,Metal/HardRock
dist0p20,00296_TRNRKLE128F930F8FB,Pop
dist0p20,00296_TRNRKLE128F930F8FB,Rock
dist0p20,00297_TRQCLBJ128F933623F,Pop
dist0p20,00298_TRJRWIF128F93450C7,Pop
dist0p20,00299_TRSEKRS12903CBB4FF,Metal/Hard Rock
dist0p20,00300_TRMRHAD12903CC0130,Pop
dist0p20,00301_TRFHVTT12903CF7CD9,World
dist0p20,00301_TRFHVTT12903CF7CD9,Country
dist0p20,00302_TRJVNVT12903CAE8EE,Rock - Classic
dist0p20,00303_TRAMTZM12903D01F9E,World
dist0p20,00303_TRAMTZM12903D01F9E,Country
dist0p20,00304_TRABBFC128F428DFC5,Pop
dist0p20,00305_TRACMAJ128F1458881,
dist0p20,00306_TRADJGT12903C9EE47,
dist0p20,00307_TRAIAOW128F423A494,Pop
dist0p20,00308_TRALWYN128F429887F,Pop
dist0p20,00309_TRAQTVG128F427F936,Pop
dist0p20,00310_TRAVVZW12903CCEEE7,Pop
dist0p20,00311_TRAXHGL128F14744C6,Rock
dist0p20,00312_TRAYPJY128F4277962,Pop
dist0p20,00312_TRAYPJY128F4277962,Rock
dist0p20,00312_TRAYPJY128F4277962,Blues
dist0p20,00312_TRAYPJY128F4277962,Metal/HardRock
